# ActiveInference.jl Trace Data Export
# Generated: 2025-07-07T12:41:08.190
# Script Version: 1.0.0
# Data columns: episode, error_before, error_after
# Data begins below:
episode,error_before,error_after
1,1.2000000000000002,1.2244424586437725
2,1.2244424586437725,1.2500709954867038
3,1.2500709954867038,1.256417263372643
4,1.256417263372643,1.274953538956404
5,1.274953538956404,1.2815850325528229
6,1.2815850325528229,1.2913018836263408
7,1.2913018836263408,1.3019578633712616
8,1.3019578633712616,1.310149097752153
9,1.310149097752153,1.3193447751588416
10,1.3193447751588416,1.3289541892519208
11,1.3289541892519208,1.3386174241474038
12,1.3386174241474038,1.3481169573855283
13,1.3481169573855283,1.3499580898099244
14,1.3499580898099244,1.3579738175109373
15,1.3579738175109373,1.3600302169131888
16,1.3600302169131888,1.363036142301592
17,1.363036142301592,1.3666996562919618
18,1.3666996562919618,1.3718367385421464
19,1.3718367385421464,1.3751922821798517
20,1.3751922821798517,1.3789030935470268
21,1.3789030935470268,1.3828183330561727
22,1.3828183330561727,1.386186522439468
23,1.386186522439468,1.3897522396466186
24,1.3897522396466186,1.393444976852571
25,1.393444976852571,1.3960379131958995
26,1.3960379131958995,1.3988340351499944
27,1.3988340351499944,1.401775061181495
28,1.401775061181495,1.4048148518125951
29,1.4048148518125951,1.407070824127552
30,1.407070824127552,1.409472717481215
