# ActiveInference.jl Simulation Results
# Generated: 2026-03-17T16:50:45.864
# Model: Two State Bistable POMDP
# Steps: 15
# Columns: step, observation, action, belief_state_1
1,2,1,0.3333333333333333
2,2,1,0.30434782608695654
3,1,2,0.6227544910179641
4,1,2,0.656476267095736
5,2,1,0.3086965676984628
6,2,1,0.29395256324673374
7,1,2,0.6178073369964335
8,1,2,0.6587050361892677
9,1,2,0.6400547890587578
10,2,1,0.31576576001067874
11,2,1,0.2969183559851309
12,2,1,0.2890411722537434
13,2,1,0.2857772222263102
14,1,2,0.6138916167222039
15,1,2,0.6604638926034982
