2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Duration: 0.62 seconds
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Results summary:
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   model_name: str
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   num_levels: int
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   level_names: list with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   time_steps: int
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   state_priors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   state_posteriors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   true_states: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   obs_priors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   obs_posteriors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   true_observations: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   policy_priors: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   policy_posteriors: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   selected_actions: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   precision_values: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   expected_free_energy: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   variational_free_energy: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   stimulus_sequence: array (100,) (int64)
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   config: ModelConfig
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   execution_metadata: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   mind_wandering_analysis: dict with 9 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   precision_analysis: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   free_energy_analysis: dict with 2 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   behavioral_patterns: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Metrics saved to: logs/meta_aware_sim_20250623_152256_metrics.json
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Generated main figure for mode figure_10: figures/figure_10_figure_10.png
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Saved results for mode figure_10: results/figure_10_results.json, results/figure_10_results.pkl
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Running simulation mode: figure_11
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Starting simulation in mode: figure_11
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Model configured: meta_awareness_active_inference (3 levels, 100 steps, mode: figure_11)
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | ============================================================
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | SIMULATION STARTED
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | ============================================================
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Simulation ID: meta_aware_sim_20250623_152256
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Start time: 2025-06-23 15:22:56.680319
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Configuration summary:
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   model_name: meta_awareness_active_inference
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   num_levels: 3
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   time_steps: 100
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   simulation_mode: figure_11
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   level_names: list with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   state_dimensions: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   random_seed: None
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Additional analysis completed
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | ============================================================
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | SIMULATION COMPLETED
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | ============================================================
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | End time: 2025-06-23 15:22:57.537531
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Duration: 0.86 seconds
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO | Results summary:
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   model_name: str
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   num_levels: int
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   level_names: list with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   time_steps: int
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   state_priors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   state_posteriors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   true_states: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   obs_priors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   obs_posteriors: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   true_observations: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   policy_priors: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   policy_posteriors: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   selected_actions: dict with 1 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   precision_values: dict with 3 items
2025-06-23 15:22:57 | meta_aware.meta_aware_sim_20250623_152256 | INFO |   expected_free_energy: dict with 1 items
